,ku_hh,ku_vv,ku_hv,ku_vh,ku_range
158,3.323135796332486e-08,8.795682668680806e-09,3.2239948416583166e-09,3.2239948416583166e-09,-1.1645556640625
159,5.945251034367279e-08,1.2989002996236951e-08,9.32423556740767e-09,9.32423556740767e-09,-1.15692626953125
160,8.865946602702376e-08,1.7843572543085097e-08,2.1288315505265208e-08,2.1288315505265208e-08,-1.149296875
161,1.079163888990339e-07,2.1389980724566964e-08,3.675613941606156e-08,3.675613941606156e-08,-1.14166748046875
162,1.069400454400338e-07,2.1408635227079226e-08,4.9538076947773244e-08,4.9538076947773244e-08,-1.1340380859375
163,8.504733801245634e-08,1.7383997830523363e-08,5.275993244026084e-08,5.275993244026084e-08,-1.12640869140625
164,5.186609282742711e-08,1.1914949918716219e-08,4.389450380665641e-08,4.389450380665641e-08,-1.118779296875
165,2.1633200594484168e-08,9.523913958336088e-09,2.7758760126851615e-08,2.7758760126851615e-08,-1.11114990234375
166,4.8282681407100914e-09,1.2731134447227369e-08,1.3764876271776822e-08,1.3764876271776822e-08,-1.1035205078125
167,2.899828643957072e-09,1.9005906657753057e-08,8.66091163562316e-09,8.66091163562316e-09,-1.09589111328125
168,9.91848679995143e-09,2.2809049241067825e-08,1.168670713673913e-08,1.168670713673913e-08,-1.08826171875
169,1.88387664723376e-08,2.140815084222015e-08,1.7136984615176284e-08,1.7136984615176284e-08,-1.08063232421875
170,2.605676022853355e-08,1.7815843135940045e-08,2.0656889008538127e-08,2.0656889008538127e-08,-1.0730029296875
171,3.131376421761852e-08,1.736138660637244e-08,2.198429764006042e-08,2.198429764006042e-08,-1.06537353515625
172,3.556416143169747e-08,2.240150541304164e-08,2.2904856660197864e-08,2.2904856660197864e-08,-1.057744140625
173,3.962440598394557e-08,3.109780036302129e-08,2.4839394712475558e-08,2.4839394712475558e-08,-1.05011474609375
174,4.3300309398792515e-08,3.986555272203982e-08,2.8249747787350334e-08,2.8249747787350334e-08,-1.0424853515625
175,4.466830873505734e-08,4.541388495497614e-08,3.228244868520242e-08,3.228244868520242e-08,-1.03485595703125
176,4.113008341865063e-08,4.546375651815486e-08,3.443737537589694e-08,3.443737537589694e-08,-1.0272265625
177,3.238279966787847e-08,3.979744970209763e-08,3.207221371176544e-08,3.207221371176544e-08,-1.01959716796875
178,2.1994330195319926e-08,3.100174334819337e-08,2.5068872627693504e-08,2.5068872627693504e-08,-1.0119677734375
179,1.5042848852180508e-08,2.2951536615755485e-08,1.6353594628210054e-08,1.6353594628210054e-08,-1.00433837890625
180,1.4098417615578816e-08,1.8273253579601897e-08,9.379732784776996e-09,9.379732784776996e-09,-0.9967089843750001
181,1.7862123720703063e-08,1.7854226548206657e-08,5.55133644612862e-09,5.55133644612862e-09,-0.9890795898437501
182,2.3297115666567155e-08,2.1952146295354258e-08,4.0954870931503616e-09,4.0954870931503616e-09,-0.9814501953125001
183,2.8262579461400457e-08,2.972954752287717e-08,3.533759585702841e-09,3.533759585702841e-09,-0.9738208007812501
184,3.2265477690179725e-08,3.7646003139436806e-08,2.791231003819087e-09,2.791231003819087e-09,-0.9661914062500001
185,3.5889963563582706e-08,4.104878733930754e-08,1.5870426279491654e-09,1.5870426279491654e-09,-0.9585620117187501
186,4.026399467111649e-08,3.92187611681425e-08,6.151974711260689e-10,6.151974711260689e-10,-0.9509326171875001
