,ka_hh,ka_vv,ka_hv,ka_range,ka_vh
141,2.0602777590104284e-08,6.50883188529014e-08,3.35632413219082e-08,-1.29425537109375,3.35632413219082e-08
142,1.7619393834763334e-08,6.780459457487793e-08,2.2342187470263847e-08,-1.2866259765625,2.2342187470263847e-08
143,1.496997297323188e-08,7.136835988936931e-08,1.612260492359733e-08,-1.27899658203125,1.612260492359733e-08
144,1.2493821071311194e-08,7.578596883325509e-08,1.2111223525976459e-08,-1.2713671875,1.2111223525976459e-08
145,1.118630604434616e-08,7.855193166042164e-08,9.899179811477713e-09,-1.26373779296875,9.899179811477713e-09
146,1.1945505900765831e-08,7.536425509912339e-08,9.702691113821053e-09,-1.2561083984375,9.702691113821053e-09
147,1.4446114089117943e-08,6.370311049206361e-08,1.1051331739773857e-08,-1.24847900390625,1.1051331739773857e-08
148,1.6899244617091004e-08,4.5817902497890164e-08,1.2984111395231085e-08,-1.240849609375,1.2984111395231085e-08
149,1.7417145060549584e-08,2.7614672820130182e-08,1.4672568904795166e-08,-1.23322021484375,1.4672568904795166e-08
150,1.5617695452581847e-08,1.452929074896622e-08,1.575538098950279e-08,-1.2255908203125,1.575538098950279e-08
151,1.2477528721782607e-08,8.376106138306354e-09,1.6164749480077746e-08,-1.21796142578125,1.6164749480077746e-08
152,8.987457612244998e-09,7.4383872708744275e-09,1.5615727305385233e-08,-1.21033203125,1.5615727305385233e-08
153,5.6617563976020305e-09,8.82799144018383e-09,1.3605211767440394e-08,-1.20270263671875,1.3605211767440394e-08
154,2.988786303353451e-09,1.0759376916107063e-08,1.0213807770161841e-08,-1.1950732421875,1.0213807770161841e-08
155,1.4334799528434721e-09,1.3282178452140686e-08,6.486026776860035e-09,-1.18744384765625,6.486026776860035e-09
156,1.2032213375127048e-09,1.7787827570683457e-08,3.6299483016253373e-09,-1.179814453125,3.6299483016253373e-09
157,2.994127141974393e-09,2.6283824941443986e-08,2.4332804006160806e-09,-1.17218505859375,2.4332804006160806e-09
158,8.838900684729053e-09,4.041087925177903e-08,4.0600550641032175e-09,-1.1645556640625,4.0600550641032175e-09
159,2.0793840156032776e-08,5.961332234748733e-08,1.0616742151556413e-08,-1.15692626953125,1.0616742151556413e-08
160,3.773048193733397e-08,7.943616976445906e-08,2.3416342975213175e-08,-1.149296875,2.3416342975213175e-08
161,5.371590306964518e-08,9.226050516627086e-08,4.0062417937788414e-08,-1.14166748046875,4.0062417937788414e-08
162,6.081511175963246e-08,9.109572380550144e-08,5.379939828339091e-08,-1.1340380859375,5.379939828339091e-08
163,5.489806398496542e-08,7.411173474358899e-08,5.7011311674828644e-08,-1.12640869140625,5.7011311674828644e-08
164,3.9370272273204576e-08,4.681000615146485e-08,4.700699428598413e-08,-1.118779296875,4.700699428598413e-08
165,2.2826350525566372e-08,2.0021493603463474e-08,2.9276351201444475e-08,-1.11114990234375,2.9276351201444475e-08
166,1.2513470210321193e-08,3.993683414537718e-09,1.417895468068201e-08,-1.1035205078125,1.417895468068201e-08
167,1.0037270559262436e-08,1.9563914829334133e-09,8.928117586829619e-09,-1.09589111328125,8.928117586829619e-09
168,1.281960133635826e-08,8.663488061567941e-09,1.2544675162608114e-08,-1.08826171875,1.2544675162608114e-08
169,1.7970278611481688e-08,1.5894154589449536e-08,1.8797362178670416e-08,-1.08063232421875,1.8797362178670416e-08
